No,Agence,Année,Trimestre,Nom du fournisseur,Numéro de référence,Date du contrat,Devis – numéro,Devis – catégorie,Devis – sous-catégorie,Contrat-début,Contrat-fin,Contrat durée (jours),Valeur du contrat (fin),Valeur du contrat (originale),Extra,Commentaires
1,Élections Canada,2004,1,OM VIDEO,4-0009,2004-06-14,671,Autre materiel de bureau,,2004-04-01,2004-05-31,60,"39558,88","39558,88",0,
2,Élections Canada,2004,1,TIME ICR,4-0016,2004-04-01,222,Services améliorés de télécommunications,,2004-04-01,2005-03-31,364,24610,24610,0,
3,Élections Canada,2004,1,UNIVERSITÉ DE MONTRÉAL,4-0024,2004-04-19,492,Contrats de recherche,,2004-04-01,2005-03-31,364,200000,200000,0,
4,Élections Canada,2004,1,DATAWORKS,4-0025,2004-04-02,472,Conseillers en technologie d'information,,2004-04-01,2005-03-31,364,23540,23540,0,
5,Élections Canada,2004,1,XEROX CANADA LTD.,4-0026,2004-04-05,522,Location de matériel de transmission d'images et de communications vidéo,,2004-04-01,2004-10-01,183,25038,25038,0,
6,Élections Canada,2004,1,CM INC.,4-0030,2004-04-19,351,Autres services de communication non spécifiés ailleurs,,2004-04-12,2004-06-30,79,24824,24824,0,
7,Élections Canada,2004,1,AJILON COMMUNICATIONS INC.,4-0039,2004-04-05,472,Conseillers en technologie d'information,,2004-04-01,2004-08-31,152,"57980,63","57980,63",0,
8,Élections Canada,2004,1,"JORDAN, NESBITT AND ASSOCIATES",4-0043,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
9,Élections Canada,2004,1,PAUL MORISSET,4-0044,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
10,Élections Canada,2004,1,PAUL MORISSET,4-0045,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
11,Élections Canada,2004,1,"CREMER, PIERRE",4-0048,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
12,Élections Canada,2004,1,"CREMER, PIERRE",4-0049,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
13,Élections Canada,2004,1,"PITRE, CHRIS",4-0050,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,22470,22470,0,
14,Élections Canada,2004,1,"MARJERRISON, PAM",4-0051,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,24610,24610,0,
15,Élections Canada,2004,1,"GRONDIN, GINETTE",4-0052,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,13803,13803,0,
16,Élections Canada,2004,1,"GRONDIN, GINETTE",4-0053,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,12840,12840,0,
17,Élections Canada,2004,1,COMMUNICATIONS DELPHIS,4-0054,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
18,Élections Canada,2004,1,COMMUNICATIONS DELPHIS,4-0055,2004-04-01,351,Autres services de communication non spécifiés ailleurs,,2004-04-01,2004-06-30,90,10700,10700,0,
19,Élections Canada,2004,1,"LABBE, GUILLAUME",4-0058,2004-04-01,494,Services de traduction,,2004-04-01,2004-04-04,3,"20131,75","20131,75",0,
20,Élections Canada,2004,1,SI SYSTEMS LTD.,4-0065,2004-04-01,472,Conseillers en technologie d'information,,2004-04-01,2004-09-10,162,43335,43335,0,
21,Élections Canada,2004,1,SYSTEMATIX,4-0073,2004-04-02,491,Services de conseillers en gestion,,2004-04-01,2004-06-30,90,40125,40125,0,
22,Élections Canada,2004,1,MARCOMM INC.,4-0076,2004-04-02,220,Services téléphoniques et autres services de communications téléphoniques (sauf les services améliorés de télécommunications),,2004-04-02,2005-03-31,363,10700,10700,0,
23,Élections Canada,2004,1,R.H.D.F. 2000,4-0082,2004-04-05,491,Services de conseillers en gestion,,2004-04-01,2005-03-31,364,"30762,5","30762,5",0,
24,Élections Canada,2004,1,R.H.D.F. 2000,4-0083,2004-04-05,491,Services de conseillers en gestion,,2004-04-01,2005-03-31,364,"18457,5","18457,5",0,
25,Élections Canada,2004,1,AJILON CANADA,4-0094,2004-04-07,472,Conseillers en technologie d'information,,2004-04-01,2004-08-31,152,"36273,03","36273,03",0,
